,name,grape_variety,description
469,"Ramey 'Rochioli Vineyard' Chardonnay 2015, Russian River Valley",Chardonnay,"After working for two decades at world-famous wineries, such as Dominius, David Ramey went his own way with Ramey Wine Cellars. It's safe to say he's excelled with this single-vineyard Chardonnay. Aged for 20 months in vanilla-imparting oak, the alluring hints of sweet spice, creamy stone fruits grapefruit and citrus in this full-bodied white scored 94 Parker Points."
470,Anekena Reserva Sauvignon Blanc 2019,Sauvignon Blanc,"From Chile's abundant Central Valley this clean and fresh Sauvingon Blanc has flavours of citrus, white peach and pineapple alongside subtle grassy notes. Enjoy it with zesty summer salads, or simple poultry dishes."
471,"Ten Minutes by Tractor 'Down the Hill' Estate Pinot Noir 2017, Mornington Peninsula",Pinot Noir,"Mornington Peninsula is a sub-region of Victoria which, in recent years, has been identified as arguably the best area in Australia for cultivating the classic Burgundian varieties. The new 'Down the Hill' Estate Pinot Noir from Ten Minutes by Tractor is taken from warmer vineyards and matured for 11 months in French oak. The result is an approachable style, flush with red fruit and cranberry notes with dry tannins."
472,"Acacia Road Chardonnay 2020, South Africa",Chardonnay,"This South African Chardonnay hasn't seen a drop of oak, so its fruit really sings. Expect punchy aromas of melon and pineapple and subtle hints of vanilla and sweet spices. Sublime with roast chicken."
473,Ryder Estate Central Coast Chardonnay 2017,Chardonnay,"What could be more Californian than a Chardonnay made to take hiking – or to sip on the beach after surfing Big Sur? The winemakers at Ryder Estate are all about that Californian lifestyle. They simply love where they live and pour all the magic of this region into their wines. It’s also why all Ryder wines are made sustainably – so you know that not only is this wine delicious, it’s good for the planet too. This pear-and-apricot scented Chardonnay is from the cool Central Coast where the combination of sun and sea means the wines are seriously aromatic, but also crisp. They use just a touch of oak in aging which gives it a lovely creamy texture with just a hint of toasty spiciness. With baked mac’n’cheese or California-style Caesar salad you’ll be transported right to the sunshine state."
474,"Château La Tour Figeac 2014, Saint-Émilion Grand Cru Classé",Cabernet Sauvignon,"Château La Tour Figeac sits next to the famous Cheval Blanc estate. It benefits from the famous Graves de Saint-Émilion terroir that's produced fantastic wine since the Roman era. And this is worthy of its Grand Cru Classé status. It's powerful and structured, with notes of black cherry, plum, vanilla and coffee. Decant for an hour before serving at room temperature with roast beef."
475,"Château Montelena Cabernet Sauvignon 2017, Napa Valley",Cabernet Sauvignon,"Château Montelena are world-famous Napa Valley. They made their name when beating the best of France at the famous Judgement of Paris 1976. And they continue to make exceptional Cabernet today. This is medium-bodied, with notes of plum, strawberry, raspberry jam and vanilla. Decant this for two hours and serve at room temperature with rib-eye steak."
476,Bollinger Grande Année 2012 Champagne,Chardonnay,"Only produced in exceptional years from exclusively Grand Cru rated grapes. Rich, biscuity and yeasty, this wine carries the ultimate expression of the house style."
477,"Saintsbury Pinot Noir 2011, Carneros",Pinot Noir,"In Carneros, the cool-climate spot of California that pampers the fussy Pinot Noir grape, the Saintsbury winery picks grapes at night and squeezes them within an hour. This brings a delightful freshness to a perfumed bouquet of rose petal, dark cherry, rhubarb and white pepper."
478,Sassicaia 2017,Cabernet Sauvignon,"Sassicaia is widely acknowledged as one of the world's finest Cabernet-based wines. It made history as the first single wine to be granted it's own DOC. A true Super Tuscan. Expect aromas of exotic spice, baked plum, cherry, tobacco and liquorice. Drink 2022-2032, decant for at least two hours before serving and pair with cold-cut meats. Wine Enthusiast gave this 2017 vintage 97 points."
479,"Kelly Washington Organic Chardonnay 2017, Rapaura",Chardonnay,"Fermented naturally, made from low-yield old vines, largely untouched and aged in a sealed barrel for 12 months, this is a deliciously mineral Chardonnay. Its textured, fresh and boasts developed notes of citrus, cream and struck match."
480,"Ryder Estate Pinot Noir 2017, California",Pinot Noir,"California’s Central Coast is becoming a bit of a Pinot Noir hotspot. Every morning, the vineyards are blanketed by cool ocean fogs, before the sun inevitably breaks through the clouds in the afternoon. The combination of cool air and warm sunshine is just perfect for Pinot Noir – it allows these famously tricky grapes to ripen more slowly so the flavours become especially intense. For us, it’s made all the more special because it’s made sustainably. We love a wine that isn’t only delicious – but good for the planet too. Smooth. Silky. Concentrated. This Pinot bursts with berry fruit flavours – think black cherry and plum. A bit of oak ageing gives it a little hint of mocha and toast, too. It’s really moreish, a lovely approachable Pinot – especially good with barbecue pulled pork."
481,Domaine du Vaux Chenonceaux 2016,Sauvignon Blanc,Chenonceaux is a new AOC (since 2011)producing white wine from Sauvignon Blanc that are powerful and ripe with aromatic complexity and typically tropical fruit flavours.
482,Domaine de Villargeau 2017 Côteaux du Giennois,Sauvignon Blanc,"The small appellation of Côteaux de Giennois has only 91 hectares planted with Sauvignon vines, and as it lives in the shadow of its neighbour, the renowned Pouilly-Fumé, its wines often slip under the radar and are hence excellent value. The classic gooseberry fruit on the nose is intense yet restrained, and leads into a palate bursting with flavours of lime and nettle, delivered with a clean and crisp feel. Enjoy with all fish, seafood and white meat dishes."
483,Cuvée des Familles Sauvignon-Viognier 2017 Vin de France,Sauvignon Blanc,"This fragrant, dry and fruity white is the brainchild of Alain Grignon, it is made from sauvignon from Gascony and viognier from the Languedoc The Sauvignon Blanc lends a fresh, clean acidity with gooseberry aromas leading to touches of peach and apricots from the rich Viognier, giving a wonderful balance of flavours. Dry and refreshing. Pairs fabulously with fish, white meat, tapas, goat cheese, or to be enjoyed on it's own."
484,"Ten Minutes by Tractor Estate Pinot Noir 2016, Mornington Peninsula",Pinot Noir,"This is a complex, silky red from one of Australia's finest Pinot Noir regions, Mornington Peninsula. This cool-climate region is a go-to for those in the know. And it really shows in Ten Minutes by Tractor's Estate Pinot Noir. Expect elegant notes of red fruit and a savoury complexity. Excellent with roast chicken."
485,Errazuriz Estate Series Chardonnay 2019 Casablanca Valley,Chardonnay,"La Escultura Estate is a vineyard that receives the benefits from a coastal influence that moderates temperatures throughout the year. Cool maritime breezes allow a long and gentle ripening period that encourages the development of grape aromas and flavours. Good aromatic intensity with fresh pineapple, mandarin orange, and papaya, along with stewed pears, and toasted notes that add complexity to the wine. Backed by crisp, refreshing acidity, this elegant Chardonnay is superb with creamy chicken dishes."
486,Chapel Down Chardonnay 2020,Chardonnay,"Chapel Down are perhaps England's best-known winery, and have been making great strides in producing high-quality wines from European grape varieties in England's marginal climate. This Chardonnay is sourced from several vineyard sites in Kent, Sussex and Essex. Vinified and matured without oak contact, this is a crisp, focused and notably cool-climate style, full of apple, lime, apricot and pineapple character. Good minerality and texture. Superb seafood wine/ Try with seared scallops."
487,"Stonier Reserve Chardonnay 2016, Mornington Peninsula",Chardonnay,"With access to some of Australia's oldest cool-climate vineyards, Stonier has scooped buckets of awards with its Reserve Chardonnay. This 2017 vintage won 97 Decanter points and 95 points at the International Wine Challenge. Made with just a dash of new-oak ageing, it's a fruity cocktail of melon, apple and grapefruit that's lined by sweet spices and a balancing flintiness."
488,"Casa Lapostolle 'Grand Selection' Cabernet Sauvignon 2018, Rapel Valley",Cabernet Sauvignon,"Casa Lapostolle make one of Chile's most awarded wines, Clos Apalta. Andrea León made that for five years. She was named Chilean Winemaker of the Year in 2017. And she's now turned her hand to this Cabernet. The best part? It's less than a tenth of the price. Dive into a fresh red with juicy tannins, flavours of strawberry and plum, and a fruity finish. Excellent with a burger."
489,"Domaine Henri Clerc Meursault Premier Cru 2015, Les Charmes",Chardonnay,"Meursault Chardonnays are known as some of the finest whites in Burgundy. If you like yours rich and full, you're in luck here. This is made on one of the best lieu dits in the appellation, Les Charmes, by a remarkable winemaker, Eric Germain. This is ripe and buttery, with notes of buttery stone fruits and a mineral complexity. Serve at 12-13 degrees with grilled lobster."
